Year,Month,Day,VPM1,VPM2,Amplitude
1980,3,17,-0.40002,1.27823,1.33936
1980,3,18,-0.02869,1.60642,1.60668
1980,3,19,0.1241,1.64059,1.64528
1980,3,20,0.04412,1.6909,1.69147
1980,3,21,-0.02234,1.6151,1.61525
1980,3,22,-0.04881,1.57235,1.57311
1980,3,23,-0.342,1.81483,1.84677
1980,3,24,-0.14027,1.68566,1.69148
1980,3,25,0.24018,1.77277,1.78897
1980,3,26,0.4284,2.1117,2.15472
1980,3,27,0.75832,2.13381,2.26455
1980,3,28,0.98788,2.12081,2.3396
1980,3,29,1.30319,1.76927,2.19742
1980,3,30,2.0933,1.32318,2.47643
1980,3,31,2.56849,1.13021,2.80616
1980,4,1,2.39283,0.76533,2.51224
1980,4,2,2.44904,0.39888,2.48131
1980,4,3,2.22006,0.00465,2.22006
1980,4,4,1.82598,-0.23115,1.84055
1980,4,5,1.52521,-0.47087,1.59624
1980,4,6,1.49217,-0.77137,1.67976
1980,4,7,1.37707,-0.85242,1.61955
1980,4,8,0.98318,-1.06094,1.44646
1980,4,9,0.84016,-1.41053,1.64178
1980,4,10,0.46302,-1.74604,1.80639
1980,4,11,0.2112,-2.14769,2.15805
1980,4,12,-0.26861,-2.15204,2.16874
1980,4,13,-0.93579,-1.99395,2.20262
1980,4,14,-1.49539,-1.76103,2.31028
1980,4,15,-1.87351,-1.36958,2.32073
1980,4,16,-1.98096,-0.70022,2.10107
1980,4,17,-1.80915,0.00399,1.80916
1980,4,18,-1.44829,0.62941,1.57915
1980,4,19,-1.23952,1.19904,1.72457
1980,4,20,-0.90201,1.88485,2.08957
1980,4,21,-0.56443,1.92968,2.01054
1980,4,22,-0.06271,1.95968,1.96068
1980,4,23,-0.04122,1.71507,1.71557
1980,4,24,0.37887,1.51816,1.56472
1980,4,25,0.50912,1.22891,1.33019
1980,4,26,0.65698,0.83064,1.05905
1980,4,27,0.61943,0.55146,0.82934
1980,4,28,0.54164,0.3166,0.62739
1980,4,29,0.49211,-0.08154,0.49882
1980,4,30,0.65659,-0.25373,0.70391
1980,5,1,0.51529,-0.34486,0.62004
1980,5,2,0.17064,-0.56711,0.59223
1980,5,3,-0.01091,-0.67734,0.67742
1980,5,4,-0.11224,-0.51405,0.52616
1980,5,5,-0.32726,-0.44559,0.55285
1980,5,6,-0.24234,-0.66833,0.71091
1980,5,7,-0.32476,-0.57934,0.66416
1980,5,8,-0.48637,-0.37372,0.61337
1980,5,9,-0.61504,-0.1126,0.62526
1980,5,10,-0.65002,0.20396,0.68127
1980,5,11,-0.43595,0.20612,0.48223
1980,5,12,0.12778,0.12598,0.17944
1980,5,13,0.2073,-0.0904,0.22615
1980,5,14,0.0888,-0.11622,0.14626
1980,5,15,-0.12625,-0.11787,0.17272
1980,5,16,-0.11655,-0.14734,0.18786
1980,5,17,-0.09407,-0.49131,0.50023
1980,5,18,-0.03815,-0.60863,0.60983
1980,5,19,-0.01069,-0.72298,0.72306
1980,5,20,-0.20211,-0.8437,0.86758
1980,5,21,-0.49563,-1.02416,1.13778
1980,5,22,-0.43186,-1.00981,1.09828
1980,5,23,-0.35117,-0.80078,0.8744
1980,5,24,-0.37642,-0.53227,0.65193
1980,5,25,-0.51195,-0.55157,0.75254
1980,5,26,-0.50975,-0.51866,0.72722
1980,5,27,-0.30516,-0.94469,0.99276
1980,5,28,-0.17063,-1.10487,1.11797
1980,5,29,0.27381,-0.95406,0.99257
1980,5,30,0.22286,-0.66287,0.69933
1980,5,31,0.20823,-0.71657,0.74621
1980,6,1,0.12766,-0.83832,0.84799
1980,6,2,0.17671,-1.13695,1.1506
1980,6,3,-0.03426,-0.96452,0.96513
1980,6,4,-0.50129,-0.79777,0.94219
1980,6,5,-0.46137,-0.55164,0.71914
1980,6,6,-0.47801,-0.10088,0.48854
1980,6,7,-0.60309,0.15611,0.62297
1980,6,8,-0.58454,0.1466,0.60264
1980,6,9,-0.6038,0.2297,0.64602
1980,6,10,-0.64597,0.32661,0.72384
1980,6,11,-0.94143,0.26995,0.97936
1980,6,12,-0.89585,0.21874,0.92217
1980,6,13,-0.43738,0.42636,0.6108
1980,6,14,-0.2878,0.30855,0.42194
1980,6,15,-0.18968,0.10519,0.21689
1980,6,16,-0.03415,-0.17262,0.17597
1980,6,17,0.01316,-0.61992,0.62006
1980,6,18,-0.38473,-0.83727,0.92143
1980,6,19,-0.96913,-0.84237,1.28406
1980,6,20,-0.98786,-0.66656,1.19171
1980,6,21,-0.97457,-0.53048,1.10959
