Year,Month,Day,OMI1,OMI2,Amplitude
1979,6,15,1.33526,0.50349,1.42703
1979,6,16,1.20936,0.67774,1.38632
1979,6,17,1.04686,0.84113,1.34292
1979,6,18,0.84699,0.98957,1.30255
1979,6,19,0.61137,1.11866,1.27482
1979,6,20,0.34427,1.22386,1.27136
1979,6,21,0.0527,1.30068,1.30175
1979,6,22,-0.25383,1.34491,1.36866
1979,6,23,-0.56373,1.35292,1.46567
1979,6,24,-0.864,1.32195,1.57925
1979,6,25,-1.14083,1.25049,1.6927
1979,6,26,-1.38036,1.13888,1.78953
1979,6,27,-1.56927,0.99009,1.8555
1979,6,28,-1.69572,0.81077,1.87958
1979,6,29,-1.75049,0.61206,1.85441
1979,6,30,-1.72869,0.40911,1.77644
1979,7,1,-1.63137,0.21877,1.64597
1979,7,2,-1.46582,0.05548,1.46687
1979,7,3,-1.24432,-0.07245,1.24643
1979,7,4,-0.98172,-0.16415,0.99535
1979,7,5,-0.69323,-0.22504,0.72884
1979,7,6,-0.39324,-0.26413,0.47371
1979,7,7,-0.09483,-0.29151,0.30655
1979,7,8,0.19033,-0.3164,0.36923
1979,7,9,0.45216,-0.34598,0.56934
1979,7,10,0.68238,-0.38491,0.78345
1979,7,11,0.87485,-0.43516,0.9771
1979,7,12,1.02583,-0.49615,1.13952
1979,7,13,1.13418,-0.56514,1.26718
1979,7,14,1.20131,-0.63757,1.36001
1979,7,15,1.23096,-0.70752,1.4198
1979,7,16,1.22873,-0.7682,1.4491
1979,7,17,1.20128,-0.8124,1.45019
1979,7,18,1.15545,-0.833,1.42441
1979,7,19,1.09722,-0.82344,1.37184
1979,7,20,1.03067,-0.7783,1.29152
1979,7,21,0.95725,-0.69383,1.18225
1979,7,22,0.87549,-0.56848,1.04387
1979,7,23,0.78134,-0.40346,0.87936
1979,7,24,0.66912,-0.20293,0.69921
1979,7,25,0.5328,0.02599,0.53343
1979,7,26,0.36736,0.27355,0.45802
1979,7,27,0.1698,0.52795,0.55458
1979,7,28,-0.0602,0.77611,0.77844
1979,7,29,-0.31993,1.00462,1.05433
1979,7,30,-0.60359,1.20074,1.34392
1979,7,31,-0.90213,1.35387,1.6269
1979,8,1,-1.2052,1.45511,1.88941
1979,8,2,-1.50058,1.49901,2.12103
1979,8,3,-1.77578,1.48329,2.31377
1979,8,4,-2.01908,1.4085,2.46182
1979,8,5,-2.22033,1.2775,2.56162
1979,8,6,-2.37134,1.09498,2.61194
1979,8,7,-2.466,0.86716,2.61403
1979,8,8,-2.50032,0.60158,2.57167
1979,8,9,-2.47225,0.30701,2.49124
1979,8,10,-2.38167,-0.00669,2.38168
1979,8,11,-2.23012,-0.3287,2.25422
1979,8,12,-2.02075,-0.64745,2.12194
1979,8,13,-1.75809,-0.95083,1.99873
1979,8,14,-1.44808,-1.22645,1.89766
1979,8,15,-1.09809,-1.462,1.82845
1979,8,16,-0.71718,-1.64569,1.79517
1979,8,17,-0.3165,-1.76702,1.79514
1979,8,18,0.0904,-1.8179,1.82015
1979,8,19,0.48766,-1.79426,1.85935
1979,8,20,0.85817,-1.69753,1.90212
1979,8,21,1.18564,-1.53553,1.94
1979,8,22,1.45724,-1.32183,1.96743
1979,8,23,1.66576,-1.07366,1.98179
1979,8,24,1.81025,-0.80914,1.98286
1979,8,25,1.89529,-0.54495,1.97208
1979,8,26,1.92929,-0.29503,1.95172
1979,8,27,1.92275,-0.07019,1.92403
1979,8,28,1.88674,0.12169,1.89066
1979,8,29,1.83182,0.27526,1.85238
1979,8,30,1.76737,0.38741,1.80933
1979,8,31,1.70123,0.4571,1.76157
1979,9,1,1.63958,0.48526,1.70988
1979,9,2,1.58686,0.4748,1.65637
1979,9,3,1.54593,0.43055,1.60477
1979,9,4,1.51807,0.35919,1.55998
1979,9,5,1.50295,0.26893,1.52682
1979,9,6,1.49862,0.16911,1.50813
1979,9,7,1.50136,0.0696,1.50297
1979,9,8,1.50571,-0.01984,1.50584
1979,9,9,1.50476,-0.09021,1.50746
1979,9,10,1.4907,-0.13382,1.4967
1979,9,11,1.45569,-0.14463,1.46286
1979,9,12,1.3927,-0.11849,1.39773
1979,9,13,1.29636,-0.0534,1.29746
1979,9,14,1.16344,0.05037,1.16453
1979,9,15,0.99308,0.19008,1.0111
1979,9,16,0.78677,0.3605,0.86543
1979,9,17,0.54818,0.554,0.77937
1979,9,18,0.28288,0.76099,0.81186
1979,9,19,-0.00195,0.97052,0.97052
1979,9,20,-0.29785,1.17114,1.20843
1979,9,21,-0.59553,1.35182,1.47719
1979,9,22,-0.88551,1.50267,1.74418
1979,9,23,-1.15892,1.61546,1.98817
1979,9,24,-1.4083,1.68389,2.19517
1979,9,25,-1.62837,1.70358,2.35665
1979,9,26,-1.81635,1.67215,2.46885
1979,9,27,-1.972,1.58918,2.53264
1979,9,28,-2.09725,1.45634,2.55331
1979,9,29,-2.19548,1.27748,2.54009
1979,9,30,-2.27064,1.05846,2.50522
1979,10,1,-2.32628,0.80682,2.46222
1979,10,2,-2.36454,0.53109,2.42344
1979,10,3,-2.38531,0.23972,2.39733
1979,10,4,-2.38543,-0.06015,2.38618
1979,10,5,-2.35789,-0.36378,2.38579
1979,10,6,-2.29113,-0.66918,2.38686
1979,10,7,-2.16877,-0.97487,2.3778
1979,10,8,-1.97277,-1.27246,2.34755
1979,10,9,-1.69599,-1.53518,2.28761
1979,10,10,-1.36184,-1.71941,2.19339
1979,10,11,-1.02007,-1.79522,2.06479
1979,10,12,-0.70964,-1.76948,1.90647
1979,10,13,-0.4396,-1.67114,1.72799
1979,10,14,-0.20141,-1.53071,1.5439
1979,10,15,0.01613,-1.37337,1.37346
1979,10,16,0.2202,-1.21912,1.23884
1979,10,17,0.41254,-1.08348,1.15936
1979,10,18,0.59015,-0.9776,1.14192
1979,10,19,0.74677,-0.90785,1.17552
1979,10,20,0.87456,-0.8755,1.23748
1979,10,21,1.01862,-0.81834,1.30663
1979,10,22,1.12253,-0.77306,1.36297
1979,10,23,1.18534,-0.73621,1.39536
1979,10,24,1.20812,-0.70302,1.39778
1979,10,25,1.19383,-0.66797,1.368
1979,10,26,1.1472,-0.62546,1.30663
1979,10,27,1.07433,-0.57044,1.21638
1979,10,28,0.98235,-0.49902,1.10183
1979,10,29,0.87894,-0.4089,0.9694
1979,10,30,0.77191,-0.29962,0.82802
1979,10,31,0.66868,-0.17268,0.69062
1979,11,1,0.57594,-0.03137,0.57679
1979,11,2,0.49923,0.11951,0.51334
1979,11,3,0.44276,0.27415,0.52077
1979,11,4,0.4092,0.42627,0.59089
1979,11,5,0.39963,0.56974,0.69592
1979,11,6,0.4136,0.69919,0.81236
1979,11,7,0.44922,0.81048,0.92665
1979,11,8,0.50334,0.90111,1.03216
1979,11,9,0.57182,0.97038,1.12633
1979,11,10,0.64974,1.01942,1.20888
1979,11,11,0.80818,0.99527,1.28207
1979,11,12,0.96323,0.94338,1.34825
1979,11,13,1.10563,0.87263,1.40851
1979,11,14,1.22792,0.79461,1.4626
1979,11,15,1.32443,0.72313,1.50898
1979,11,16,1.39035,0.6743,1.54524
1979,11,17,1.4195,0.66777,1.56872
1979,11,18,1.39863,0.72886,1.57715
1979,11,19,1.29708,0.88275,1.56897
1979,11,20,1.07743,1.1054,1.54362
1979,11,21,0.78717,1.27867,1.50155
